家族名義のクレジットカードは使用できますか？,ご本人様名義のカードをご使用いただきますようよろしくお願い致します。<br />詳しくは各、クレジットカード会社様の規約をご確認ください。
クレジット決済の引き落とし日を教えてください。,引き落とし日は、「カードをご利用頂いた日」と「ご利用されたクレジット会社様」によって異なります。<br />恐れ入りますが、クレジット会社様より届きますご利用明細書をご確認くださいませ。
振り込みは、どこに振り込めばよいのですか？,お近くのコンビニエンスストアもしくは郵便局でお支払いできます。<br />お支払いできるコンビニエンスストアは下記のURL先よりご確認くださいませ。<br />尚、振り込み用紙は商品と同梱してお届けしている明細書の下部にございます。
振り込み用紙は、どこに付いているのですか？,振り込み用紙は、商品と共にお届けしている、明細書の下部に付いております。<br />振り込み用紙再発行希望の方はこちらからどうぞ。<br />【えがおWEB会員の方】<br />えがおWEB会員の方は、マイページ内でお振込用紙の再発行が可能です。ぜひ、ご利用くださいませ。<br />【えがおWEB会員ではない方】<br />下記の連絡先より、振り込み用紙再発行希望の旨、ご連絡くださいませ。
口座引き落としはできますか？,口座引き落しですね。承っております。<br />下記のリンク先にありますページよりお申込書のダウンロードをして頂き、ご返送をお願い致します。<br />引き落としの手続き完了までに、1ヶ月半ほどお時間を頂いております。<br />手続き完了までは、別の支払方法を選択ください。
自動引落しの場合、引落し日は、何日になりますか？,口座自動引落申し込み用紙にて、自動引落しをお申込みいただく際に、「6日」か「23日」よりご希望の日をお選びいただいております。
口座引き落とし先の変更はできますか？,口座引き落し先の変更でございますね。承っております。<br />下記のリンク先にありますページよりお申込書のダウンロードをして頂き、ご返送をお願い致します。<br />引き落としの手続き完了までに、1ヶ月半ほどお時間を頂いております。<br />手続き完了までは、別の支払方法を選択ください。
電子マネーでのお支払いはできますか？,電子マネーでのお支払いですね。承っております。<br />下記リンク先にて電子決済のご案内をしております。ご参照のほどお願い致します。
商品はどれくらいで届きますか？,お申込み日より2・3日～1週間前後でお届けしております。（※離島を除く）<br />宅配便で、お届け日をご指定の場合は、そのご指定日にお届け予定となります。<br />※道路状況、気象状況によって、まれにお届けに時間を頂く場合もございますのでご了承くださいませ。
送料は、かかりますか？,メール便（ポストへのお届け）は送料無料でお届けいたします。<br />ご注文商品の合計金額が5000円（税込）未満で、宅配便でのお届けの場合は、送料300円が加算されます。<br />（お得な定期購入の場合は、割引適用前の通常価格で計算いたします。）<br />※下記商品は除く<br />えがおの青汁満菜、えがおの青汁、えがおの青汁コラーゲン、えがおのマカ＋亜鉛、えがおのグルコサミンゴールド、えがおのアミモア　モイストジェル
海外発送はできますか？,海外への発送ですね。承っております。<br />EMSで発送させていただきますので、国によっては対応できない地域もございます。下記のURL先よりお問い合わせくださいませ。<br />なお、下記内容も合わせて、お知らせいただければ、送料もお調べしご案内いたします。<br />・発送先の国名・地域（例：アメリカ・ボストン）<br />・商品名<br />・個数<br />・コース名（定期購入・今回のみ購入）
代金引換手数料はかかりますか？,ご注文商品の合計金額が5000円（税込）以上の場合は、代金引換手数料は無料となります。<br />ご注文商品の合計金額が5000円（税込）未満の場合は、代金引換手数料250円が加算されます。<br />また、代金引換の場合は、宅配便でのお届けとなりますため、別途送料300円も加算されます。
商品の配達を、郵便局どめや宅配便の営業所どめへ変更できますか？,郵便局どめ、宅配便の営業所どめですね。承っております。<br />指定がございます場合は、ご希望の業者様と営業所（郵便局）を記載の上、下記の連絡先よりご連絡いただきますようお願いいたします。<br />※宅配業者様によりましては、対応できかねる場合がございます。何卒ご了承くださいませ。
えがおWEB会員に登録しないと購入できないのですか？,えがおウェブサイトで商品をご購入される方には、会員登録をお願いしております。<br />会員登録をされますと、次回ご購入時にお客様の情報を再度入力せず簡単にご購入いただける他、会員様専用ページにてお得な定期購入の「お届け数」「お届け日」「コースの変更」などが可能になります。
えがおWEB会員の登録はどうしたらできますか？,えがおWEB会員の登録は、下記のリンク「えがおWEB会員登録はこちら」をクリックしてください。
現在えがおで定期購入をしている、または過去に商品を購入したことがあります。<br />新たにえがおWEB会員に登録すると、会員登録が2重になりませんか？,以前よりご登録いただいております情報と異なる情報で「えがおWEB会員」に登録された場合には、登録が2重になる可能性がございます。（例：電話番号の相違、建物名の有無など）<br />えがおWEB会員にご登録される際には、以前よりご登録いただいておりました情報と同じ「名前」・「電話番号」・「住所」でご登録をお願いします。<br />万が一ご登録が2重になりました際には、１つにまとめますので、ご連絡くださいますようお願いいたします。
友人にえがおの商品を紹介したいのですが、どのように注文したらいいですか？,ご友人へのご紹介の注文ですね。3つの方法でご注文が可能でございます<br />・お電話<br />・ホームページ<br />・専用の紹介ハガキ<br />ご希望のご注文方法をお選びいただき、お電話の場合は、紹介者様の「お名前」「お電話番号」「お客様番号」をご用意の上、0120-241-241まで。<br />ホームページ、専用紹介ハガキでのお申込をご希望の場合は、下記よりお問い合わせをお願いいたします。
注文方法を教えてください。, ご注文は、こちらのホームページ、お電話、メール、FAXなどで承っております。<br />お手数ですが、下記よりご注文くださいませ。
法人として注文できますか？,法人としてのご注文ですね。承っております。<br /><br />【ホームページでご注文希望の方】<br />ご注文後に、下記の問い合わせフォームから法人登録希望の旨と下記の代表者情報をご連絡くださいませ。<br />・お名前<br />・ふりがな<br />・郵便番号<br />・住所<br />・お電話番号<br /><br />【その他の方法でご注文希望の方】<br />お電話などでも、ご注文を承っております。<br />お手数ですが、下記の連絡先よりご注文内容をお知らせくださいませ。
